nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
B4GALT2	B4GALT2	brown	protein_coding	False	0		0
B4GALT7	B4GALT7	brown	protein_coding	False	0		0
B4GAT1-DT	B4GAT1-DT	brown	lncRNA	True	0		2
BAALC-AS1	BAALC-AS1	brown	lncRNA	True	0		2
BABAM2	BABAM2	brown	protein_coding	False	0		0
BACE1-AS	BACE1-AS	brown	lncRNA	True	0		2
BAD	BAD	brown	protein_coding	False	0		0
BAG6	BAG6	brown	protein_coding	False	0		0
BAHD1	BAHD1	brown	protein_coding	False	0		0
BAIAP2	BAIAP2	brown	protein_coding	False	0		0
BAIAP2-DT	BAIAP2-DT	brown	lncRNA	True	0		2
BAIAP3	BAIAP3	brown	protein_coding	False	0		0
BAMBI	BAMBI	brown	protein_coding	False	0		0
BANP	BANP	brown	protein_coding	False	0		0
BAP1	BAP1	brown	protein_coding	False	0		0
BARX1	BARX1	brown	protein_coding	False	0		0
BAZ1A-AS1	BAZ1A-AS1	brown	lncRNA	True	0		2
BAZ1B	BAZ1B	brown	protein_coding	False	0		0
BAZ2A	BAZ2A	brown	protein_coding	False	0		0
BAZ2B-AS1	BAZ2B-AS1	brown	lncRNA	True	0		2
BBLN	BBLN	brown	protein_coding	False	0		0
BBS1	BBS1	brown	protein_coding	False	0		0
BBS12	BBS12	brown	protein_coding	False	0		0
BBS2	BBS2	brown	protein_coding	False	0		0
BBS5	BBS5	brown	protein_coding	False	0		0
BBS9	BBS9	brown	protein_coding	False	0		0
BCAS3	BCAS3	brown	protein_coding	False	0		0
BCAT2	BCAT2	brown	protein_coding	False	0		0
BCDIN3D	BCDIN3D	brown	protein_coding	False	0		0
BCDIN3D-AS1	BCDIN3D-AS1	brown	lncRNA	True	0		2
BCKDK	BCKDK	brown	protein_coding	False	0		0
BCL2L13	BCL2L13	brown	protein_coding	False	0		0
BCL7A	BCL7A	brown	protein_coding	False	0		0
BCL7B	BCL7B	brown	protein_coding	False	0		0
BCL7C	BCL7C	brown	protein_coding	False	0		0
BCL9	BCL9	brown	protein_coding	False	0		0
BCORL1	BCORL1	brown	protein_coding	False	0		0
