nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
CANX	CANX	blue	protein_coding	False	0		0
CAPG	CAPG	blue	protein_coding	False	0		0
CAPN10-DT	CAPN10-DT	blue	lncRNA	True	0		2
CAPRIN1	CAPRIN1	blue	protein_coding	False	0		0
CARS2	CARS2	blue	protein_coding	False	0		0
CAST	CAST	blue	protein_coding	False	0		0
CAT	CAT	blue	protein_coding	False	0		0
CATSPERE	CATSPERE	blue	protein_coding	False	0		0
CAVIN1	CAVIN1	blue	protein_coding	False	0		0
CBR1	CBR1	blue	protein_coding	False	0		0
CCAR2	CCAR2	blue	protein_coding	False	0		0
CCDC12	CCDC12	blue	protein_coding	False	0		0
CCDC137	CCDC137	blue	protein_coding	False	0		0
CCDC183-AS1	CCDC183-AS1	blue	lncRNA	True	0		2
CCDC25	CCDC25	blue	protein_coding	False	0		0
CCDC28B	CCDC28B	blue	protein_coding	False	0		0
CCDC51	CCDC51	blue	protein_coding	False	0		0
CCDC6	CCDC6	blue	protein_coding	False	0		0
CCDC71	CCDC71	blue	protein_coding	False	0		0
CCDC80	CCDC80	blue	protein_coding	False	0		0
CCDC86	CCDC86	blue	protein_coding	False	0		0
CCDC88C	CCDC88C	blue	protein_coding	False	0		0
CCDC9	CCDC9	blue	protein_coding	False	0		0
CCDC93	CCDC93	blue	protein_coding	False	0		0
CCNB1IP1	CCNB1IP1	blue	protein_coding	False	0		0
CCND3	CCND3	blue	protein_coding	False	0		0
CCNJ	CCNJ	blue	protein_coding	False	0		0
CCNK	CCNK	blue	protein_coding	False	0		0
CCNY	CCNY	blue	protein_coding	False	0		0
CCT2	CCT2	blue	protein_coding	False	0		0
CCT3	CCT3	blue	protein_coding	False	0		0
CCT5	CCT5	blue	protein_coding	False	0		0
CCT6A	CCT6A	blue	protein_coding	False	0		0
CCT7	CCT7	blue	protein_coding	False	0		0
CD151	CD151	blue	protein_coding	False	0		0
CD2BP2	CD2BP2	blue	protein_coding	False	0		0
CD320	CD320	blue	protein_coding	False	0		0
CD9	CD9	blue	protein_coding	False	0		0
CDC123	CDC123	blue	protein_coding	False	0		0
CDC37	CDC37	blue	protein_coding	False	0		0
CDC42SE1	CDC42SE1	blue	protein_coding	False	0		0
CDC42SE2	CDC42SE2	blue	protein_coding	False	0		0
CDC45	CDC45	blue	protein_coding	False	0		0
CDC6	CDC6	blue	protein_coding	False	0		0
CDCA3	CDCA3	blue	protein_coding	False	0		0
CDCA4	CDCA4	blue	protein_coding	False	0		0
CDCA5	CDCA5	blue	protein_coding	False	0		0
CDCA7	CDCA7	blue	protein_coding	False	0		0
CDCA7L	CDCA7L	blue	protein_coding	False	0		0
CDK10	CDK10	blue	protein_coding	False	0		0
CDK11A	CDK11A	blue	protein_coding	False	0		0
CDK11B	CDK11B	blue	protein_coding	False	0		0
CDK12	CDK12	blue	protein_coding	False	0		0
CDK2	CDK2	blue	protein_coding	False	0		0
CDK4	CDK4	blue	protein_coding	False	0		0
CDK5R1	CDK5R1	blue	protein_coding	False	0		0
CDK5RAP2	CDK5RAP2	blue	protein_coding	False	0		0
CDK5RAP3	CDK5RAP3	blue	protein_coding	False	0		0
CDK7	CDK7	blue	protein_coding	False	0		0
CDKAL1	CDKAL1	blue	protein_coding	False	0		0
CDKN2A	CDKN2A	blue	protein_coding	False	0		0
CDKN2A-AS1	CDKN2A-AS1	blue	lncRNA	True	0		2
CDKN2B	CDKN2B	blue	protein_coding	False	0		0
CDYL	CDYL	blue	protein_coding	False	0		0
CENPB	CENPB	blue	protein_coding	False	0		0
CENPBD1P	CENPBD1P	blue	lncRNA	True	0		2
CENPL	CENPL	blue	protein_coding	False	0		0
CENPM	CENPM	blue	protein_coding	False	0		0
CENPN	CENPN	blue	protein_coding	False	0		0
CENPO	CENPO	blue	protein_coding	False	0		0
CENPP	CENPP	blue	protein_coding	False	0		0
CENPS-CORT	CENPS-CORT	blue	protein_coding	False	0		0
CENPT	CENPT	blue	protein_coding	False	0		0
CENPV	CENPV	blue	protein_coding	False	0		0
CENPW	CENPW	blue	protein_coding	False	0		0
CENPX	CENPX	blue	protein_coding	False	0		0
CEP20	CEP20	blue	protein_coding	False	0		0
CEP41	CEP41	blue	protein_coding	False	0		0
CEP72	CEP72	blue	protein_coding	False	0		0
CERCAM	CERCAM	blue	protein_coding	False	0		0
CES2	CES2	blue	protein_coding	False	0		0
CFAP119	CFAP119	blue	protein_coding	False	0		0
CFAP20	CFAP20	blue	protein_coding	False	0		0
CFAP410	CFAP410	blue	protein_coding	False	0		0
CFAP68	CFAP68	blue	protein_coding	False	0		0
CGREF1	CGREF1	blue	protein_coding	False	0		0
CHAF1A	CHAF1A	blue	protein_coding	False	0		0
CHAMP1	CHAMP1	blue	protein_coding	False	0		0
CHCHD1	CHCHD1	blue	protein_coding	False	0		0
CHCHD2	CHCHD2	blue	protein_coding	False	0		0
CHCHD4	CHCHD4	blue	protein_coding	False	0		0
CHD1L	CHD1L	blue	protein_coding	False	0		0
CHD3	CHD3	blue	protein_coding	False	0		0
CHD4	CHD4	blue	protein_coding	False	0		0
CHD6	CHD6	blue	protein_coding	False	0		0
CHEK2	CHEK2	blue	protein_coding	False	0		0
CHERP	CHERP	blue	protein_coding	False	0		0
CHIA	CHIA	blue	protein_coding	False	0		0
CHID1	CHID1	blue	protein_coding	False	0		0
CHMP1B	CHMP1B	blue	protein_coding	False	0		0
CHMP3	CHMP3	blue	protein_coding	False	0		0
CHMP4B	CHMP4B	blue	protein_coding	False	0		0
CHMP5	CHMP5	blue	protein_coding	False	0		0
CHPF	CHPF	blue	protein_coding	False	0		0
CHST12	CHST12	blue	protein_coding	False	0		0
CHTF18	CHTF18	blue	protein_coding	False	0		0
CHTF8	CHTF8	blue	protein_coding	False	0		0
CHTOP	CHTOP	blue	protein_coding	False	0		0
CIAO1	CIAO1	blue	protein_coding	False	0		0
CIAO2B	CIAO2B	blue	protein_coding	False	0		0
CIAPIN1	CIAPIN1	blue	protein_coding	False	0		0
CIB1	CIB1	blue	protein_coding	False	0		0
CICP14	CICP14	blue	processed_pseudogene	False	0		0
CINP	CINP	blue	protein_coding	False	0		0
CIRBP	CIRBP	blue	protein_coding	False	0		0
CISD2	CISD2	blue	protein_coding	False	0		0
CISD3	CISD3	blue	protein_coding	False	0		0
CKAP2-DT	CKAP2-DT	blue	lncRNA	True	0		2
CKAP4	CKAP4	blue	protein_coding	False	0		0
CKLF	CKLF	blue	protein_coding	False	0		0
CKS1B	CKS1B	blue	protein_coding	False	0		0
CKS2	CKS2	blue	protein_coding	False	0		0
CLDN15	CLDN15	blue	protein_coding	False	0		0
CLIC1	CLIC1	blue	protein_coding	False	0		0
CLK2	CLK2	blue	protein_coding	False	0		0
CLK3	CLK3	blue	protein_coding	False	0		0
CLN6	CLN6	blue	protein_coding	False	0		0
CLP1	CLP1	blue	protein_coding	False	0		0
CLPB	CLPB	blue	protein_coding	False	0		0
CLPTM1L	CLPTM1L	blue	protein_coding	False	0		0
CLTA	CLTA	blue	protein_coding	False	0		0
CLTB	CLTB	blue	protein_coding	False	0		0
CLU	CLU	blue	protein_coding	False	0		0
CMC2	CMC2	blue	protein_coding	False	0		0
CMSS1	CMSS1	blue	protein_coding	False	0		0
CMTM6	CMTM6	blue	protein_coding	False	0		0
CMTR1	CMTR1	blue	protein_coding	False	0		0
CNDP2	CNDP2	blue	protein_coding	False	0		0
CNIH4	CNIH4	blue	protein_coding	False	0		0
CNOT7	CNOT7	blue	protein_coding	False	0		0
CNOT9	CNOT9	blue	protein_coding	False	0		0
CNPY2	CNPY2	blue	protein_coding	False	0		0
CNPY2-AS1	CNPY2-AS1	blue	lncRNA	True	0		2
CNPY3	CNPY3	blue	protein_coding	False	0		0
CNPY4	CNPY4	blue	protein_coding	False	0		0
COA1	COA1	blue	protein_coding	False	0		0
COA3	COA3	blue	protein_coding	False	0		0
COA4	COA4	blue	protein_coding	False	0		0
COA5	COA5	blue	protein_coding	False	0		0
COA6	COA6	blue	protein_coding	False	0		0
COA7	COA7	blue	protein_coding	False	0		0
COCH	COCH	blue	protein_coding	False	0		0
COG1	COG1	blue	protein_coding	False	0		0
COG8	COG8	blue	protein_coding	False	0		0
COL15A1	COL15A1	blue	protein_coding	False	0		0
COL18A1	COL18A1	blue	protein_coding	False	0		0
COLGALT1	COLGALT1	blue	protein_coding	False	0		0
COMMD4	COMMD4	blue	protein_coding	False	0		0
COMMD5	COMMD5	blue	protein_coding	False	0		0
COMMD9	COMMD9	blue	protein_coding	False	0		0
COPA	COPA	blue	protein_coding	False	0		0
COPB2	COPB2	blue	protein_coding	False	0		0
COPE	COPE	blue	protein_coding	False	0		0
COPG1	COPG1	blue	protein_coding	False	0		0
COPRS	COPRS	blue	protein_coding	False	0		0
COPS3	COPS3	blue	protein_coding	False	0		0
COPS6	COPS6	blue	protein_coding	False	0		0
COPS7A	COPS7A	blue	protein_coding	False	0		0
COPS7B	COPS7B	blue	protein_coding	False	0		0
COPZ2	COPZ2	blue	protein_coding	False	0		0
COQ10A	COQ10A	blue	protein_coding	False	0		0
COQ3	COQ3	blue	protein_coding	False	0		0
COQ6	COQ6	blue	protein_coding	False	0		0
COQ7	COQ7	blue	protein_coding	False	0		0
COQ8A	COQ8A	blue	protein_coding	False	0		0
COQ9	COQ9	blue	protein_coding	False	0		0
CORO1C	CORO1C	blue	protein_coding	False	0		0
COTL1	COTL1	blue	protein_coding	False	0		0
COX11	COX11	blue	protein_coding	False	0		0
COX14	COX14	blue	protein_coding	False	0		0
COX16	COX16	blue	protein_coding	False	0		0
COX4I1	COX4I1	blue	protein_coding	False	0		0
COX5B	COX5B	blue	protein_coding	False	0		0
COX6A1	COX6A1	blue	protein_coding	False	0		0
COX6B1	COX6B1	blue	protein_coding	False	0		0
COX6C	COX6C	blue	protein_coding	False	0		0
COX7A2	COX7A2	blue	protein_coding	False	0		0
COX7B	COX7B	blue	protein_coding	False	0		0
COX7C	COX7C	blue	protein_coding	False	0		0
COX8A	COX8A	blue	protein_coding	False	0		0
CPSF4	CPSF4	blue	protein_coding	False	0		0
