nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
CCNG1	CCNG1	green	protein_coding	False	0		0
CCNT2	CCNT2	green	protein_coding	False	0		0
CCP110	CCP110	green	protein_coding	False	0		0
CCPG1	CCPG1	green	protein_coding	False	0		0
CCSER2	CCSER2	green	protein_coding	False	0		0
CD164	CD164	green	protein_coding	False	0		0
CD2AP	CD2AP	green	protein_coding	False	0		0
CD46	CD46	green	protein_coding	False	0		0
CDC27	CDC27	green	protein_coding	False	0		0
CDC42BPA	CDC42BPA	green	protein_coding	False	0		0
CDC5L	CDC5L	green	protein_coding	False	0		0
CDC7	CDC7	green	protein_coding	False	0		0
CDC73	CDC73	green	protein_coding	False	0		0
CDK1	CDK1	green	protein_coding	False	0		0
CDKN2B-AS1	CDKN2B-AS1	green	lncRNA	True	0		2
CEBPZ	CEBPZ	green	protein_coding	False	0		0
CENPC	CENPC	green	protein_coding	False	0		0
CENPE	CENPE	green	protein_coding	False	0		0
CENPF	CENPF	green	protein_coding	False	0		0
CENPJ	CENPJ	green	protein_coding	False	0		0
CENPK	CENPK	green	protein_coding	False	0		0
CENPQ	CENPQ	green	protein_coding	False	0		0
CENPU	CENPU	green	protein_coding	False	0		0
CEP112	CEP112	green	protein_coding	False	0		0
CEP120	CEP120	green	protein_coding	False	0		0
CEP126	CEP126	green	protein_coding	False	0		0
CEP128	CEP128	green	protein_coding	False	0		0
CEP135	CEP135	green	protein_coding	False	0		0
CEP152	CEP152	green	protein_coding	False	0		0
CEP162	CEP162	green	protein_coding	False	0		0
CEP170	CEP170	green	protein_coding	False	0		0
CEP170P1	CEP170P1	green	transcribed_unprocessed_pseudogene	False	0		0
CEP192	CEP192	green	protein_coding	False	0		0
CEP290	CEP290	green	protein_coding	False	0		0
CEP295	CEP295	green	protein_coding	False	0		0
CEP350	CEP350	green	protein_coding	False	0		0
CEP44	CEP44	green	protein_coding	False	0		0
CEP55	CEP55	green	protein_coding	False	0		0
CEP57	CEP57	green	protein_coding	False	0		0
CEP57L1	CEP57L1	green	protein_coding	False	0		0
CEP70	CEP70	green	protein_coding	False	0		0
CEP83	CEP83	green	protein_coding	False	0		0
CEP85L	CEP85L	green	protein_coding	False	0		0
CEP97	CEP97	green	protein_coding	False	0		0
CFAP44	CFAP44	green	protein_coding	False	0		0
CFAP97	CFAP97	green	protein_coding	False	0		0
CGGBP1	CGGBP1	green	protein_coding	False	0		0
CHD1	CHD1	green	protein_coding	False	0		0
CHD9	CHD9	green	protein_coding	False	0		0
CHIC1	CHIC1	green	protein_coding	False	0		0
CHM	CHM	green	protein_coding	False	0		0
CHML	CHML	green	protein_coding	False	0		0
CHORDC1	CHORDC1	green	protein_coding	False	0		0
CHUK	CHUK	green	protein_coding	False	0		0
CHURC1	CHURC1	green	protein_coding	False	0		0
CIP2A	CIP2A	green	protein_coding	False	0		0
CIR1	CIR1	green	protein_coding	False	0		0
CKAP2	CKAP2	green	protein_coding	False	0		0
CKAP2L	CKAP2L	green	protein_coding	False	0		0
CLIC2	CLIC2	green	protein_coding	False	0		0
CLK1	CLK1	green	protein_coding	False	0		0
CLOCK	CLOCK	green	protein_coding	False	0		0
CMPK1	CMPK1	green	protein_coding	False	0		0
CMTR2	CMTR2	green	protein_coding	False	0		0
CMYA5	CMYA5	green	protein_coding	False	0		0
CNOT6L	CNOT6L	green	protein_coding	False	0		0
CNTLN	CNTLN	green	protein_coding	False	0		0
CNTRL	CNTRL	green	protein_coding	False	0		0
COG6	COG6	green	protein_coding	False	0		0
COMMD10	COMMD10	green	protein_coding	False	0		0
COMMD8	COMMD8	green	protein_coding	False	0		0
COPB1	COPB1	green	protein_coding	False	0		0
COPS2	COPS2	green	protein_coding	False	0		0
COPS4	COPS4	green	protein_coding	False	0		0
CPD	CPD	green	protein_coding	False	0		0
CPLANE1	CPLANE1	green	protein_coding	False	0		0
CRBN	CRBN	green	protein_coding	False	0		0
CREB1	CREB1	green	protein_coding	False	0		0
CREBRF	CREBRF	green	protein_coding	False	0		0
CRNKL1	CRNKL1	green	protein_coding	False	0		0
CRYBG3	CRYBG3	green	protein_coding	False	0		0
CSE1L	CSE1L	green	protein_coding	False	0		0
CSMD3	CSMD3	green	protein_coding	False	0		0
CSNK1G3	CSNK1G3	green	protein_coding	False	0		0
CSPP1	CSPP1	green	protein_coding	False	0		0
CTDSPL2	CTDSPL2	green	protein_coding	False	0		0
CTR9	CTR9	green	protein_coding	False	0		0
CUL2	CUL2	green	protein_coding	False	0		0
CUL5	CUL5	green	protein_coding	False	0		0
CWC22	CWC22	green	protein_coding	False	0		0
CWC27	CWC27	green	protein_coding	False	0		0
CWF19L2	CWF19L2	green	protein_coding	False	0		0
CYB5R4	CYB5R4	green	protein_coding	False	0		0
DAAM1	DAAM1	green	protein_coding	False	0		0
DBF4	DBF4	green	protein_coding	False	0		0
