nodeName	gene_name	module	biotype	is_robust_lnc
ADARB1	ADARB1	brown	protein_coding	False
ADARB2	ADARB2	violet	protein_coding	False
ADAT1	ADAT1	brown	protein_coding	False
ADAT3	ADAT3	brown	protein_coding	False
ADCK1	ADCK1	brown	protein_coding	False
ADCK2	ADCK2	brown	protein_coding	False
ADCK5	ADCK5	blue	protein_coding	False
ADCY2	ADCY2	steelblue	protein_coding	False
ADCY3	ADCY3	blue	protein_coding	False
ADCY6	ADCY6	brown	protein_coding	False
ADCY7	ADCY7	brown	protein_coding	False
ADCY9	ADCY9	brown	protein_coding	False
ADD1	ADD1	brown	protein_coding	False
ADGB	ADGB	salmon	protein_coding	False
ADGRA2	ADGRA2	brown	protein_coding	False
ADGRA3	ADGRA3	brown	protein_coding	False
ADGRB1	ADGRB1	brown	protein_coding	False
ADGRB2	ADGRB2	brown	protein_coding	False
ADGRD1	ADGRD1	magenta	protein_coding	False
ADGRE1	ADGRE1	black	protein_coding	False
ADGRF1	ADGRF1	darkgrey	protein_coding	False
ADGRF2P	ADGRF2P	yellowgreen	transcribed_unitary_pseudogene	False
ADGRF4	ADGRF4	darkorange	protein_coding	False
ADGRG4	ADGRG4	greenyellow	protein_coding	False
ADGRL1	ADGRL1	brown	protein_coding	False
ADGRL1-AS1	ADGRL1-AS1	brown	lncRNA	True
ADGRL2	ADGRL2	brown	protein_coding	False
ADH1A	ADH1A	lightgreen	protein_coding	False
